id,qid1,qid2,question1,question2,is_duplicate,freq_qid1,freq_qid2,q1len,q2len,q1_n_words,q2_n_words,word_Common,word_Total,word_share,freq_q1+q2,freq_q1-q2
0,1,2,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,1,1,66,57,14,12,10.0,23.0,0.43478260869565216,2,0
1,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,1,1,51,88,8,13,4.0,20.0,0.2,2,0
2,5,6,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,1,1,73,59,14,10,4.0,24.0,0.16666666666666666,2,0
3,7,8,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,1,1,50,65,11,9,0.0,19.0,0.0,2,0
4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,1,1,76,39,13,7,2.0,20.0,0.1,2,0
5,11,12,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,1,1,86,90,16,16,8.0,31.0,0.25806451612903225,2,0
6,13,14,Should I buy tiago?,What keeps childern active and far from phone and video games?,0,1,1,19,62,4,11,0.0,14.0,0.0,2,0
7,15,16,How can I be a good geologist?,What should I do to be a great geologist?,1,1,1,30,41,7,9,4.0,16.0,0.25,2,0
8,17,18,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0,1,1,31,37,8,8,6.0,16.0,0.375,2,0
9,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,1,1,60,49,9,9,3.0,18.0,0.16666666666666666,2,0
10,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,1,1,57,116,9,19,1.0,25.0,0.04,2,0
11,23,24,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,1,1,43,38,9,8,5.0,17.0,0.29411764705882354,2,0
12,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,1,1,1,36,39,7,8,6.0,15.0,0.4,2,0
13,27,28,What was your first sexual experience like?,What was your first sexual experience?,1,1,1,43,38,7,6,5.0,13.0,0.38461538461538464,2,0
14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,1,1,141,140,29,29,20.0,44.0,0.45454545454545453,2,0
15,31,32,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1,1,1,93,91,15,17,4.0,31.0,0.12903225806451613,2,0
16,33,34,What does manipulation mean?,What does manipulation means?,1,1,1,28,29,4,4,3.0,8.0,0.375,2,0
