id,qid1,qid2,question1,question2,is_duplicate,freq_qid1,freq_qid2,q1len,q2len,q1_n_words,q2_n_words,word_Common,word_Total,word_share,freq_q1+q2,freq_q1-q2,cwc_min,cwc_max,csc_min,csc_max,ctc_min,ctc_max,last_word_eq,first_word_eq,abs_len_diff,mean_len,token_set_ratio,token_sort_ratio,fuzz_ratio,fuzz_partial_ratio,longest_substr_ratio
0,1,2,what is the step by step guide to invest in share market in india ,what is the step by step guide to invest in share market ,0,1,1,66,57,14,12,10.0,23.0,0.4347826086956521,2,0,0.999980000399992,0.8333194446759221,0.9999833336111065,0.9999833336111065,0.9166590278414347,0.7857086735094749,0,1,2,13.0,100,93,93,100,0.9827586206896551
1,3,4,what is the story of kohinoor  koh i noor  diamond ,what would happen if the indian government stole the kohinoor  koh i noor  diamond back ,0,1,1,51,88,8,13,4.0,20.0,0.2,2,0,0.7999840003199936,0.39999600003999963,0.7499812504687383,0.5999880002399952,0.6999930000699993,0.4666635555762962,0,1,5,12.5,86,63,66,75,0.5961538461538461
2,5,6,how can i increase the speed of my internet connection while using a vpn ,how can internet speed be increased by hacking through dns ,0,1,1,73,59,14,10,4.0,24.0,0.1666666666666666,2,0,0.3999920001599968,0.3333277778703688,0.3999920001599968,0.249996875039062,0.39999600003999963,0.28571224491253633,0,1,4,12.0,63,63,43,47,0.16666666666666666
3,7,8,why am i mentally very lonely  how can i solve it ,find the remainder when  math 23  24   math  is divided by 24 23 ,0,1,1,50,65,11,9,0.0,19.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,12.0,28,24,9,14,0.0392156862745098
4,9,10,which one dissolve in water quikly sugar  salt  methane and carbon di oxide ,which fish would survive in salt water ,0,1,1,76,39,13,7,2.0,20.0,0.1,2,0,0.3999920001599968,0.19999800001999982,0.9999500024998749,0.6666444451851604,0.5714204082798817,0.3076899408466089,0,1,6,10.0,67,47,35,56,0.175
5,11,12,astrology  i am a capricorn sun cap moon and cap rising   what does that say about me ,i am a triple capricorn  sun  moon and ascendant in capricorn  what does this say about me ,1,1,1,86,90,16,16,8.0,31.0,0.2580645161290322,2,0,0.6666555557407376,0.5714204082798817,0.8888790124554172,0.7999920000799993,0.7058782007164663,0.7058782007164663,1,0,0,17.0,81,77,73,73,0.16091954022988506
6,13,14,should i buy tiago ,what keeps childern active and far from phone and video games ,0,1,1,19,62,4,11,0.0,14.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,7.5,24,23,20,42,0.1
7,15,16,how can i be a good geologist ,what should i do to be a great geologist ,1,1,1,30,41,7,9,4.0,16.0,0.25,2,0,0.49997500124993743,0.49997500124993743,0.5999880002399952,0.4285653062099113,0.5714204082798817,0.4444395062277086,1,0,2,8.0,71,61,61,67,0.3548387096774194
8,17,18,when do you use シ instead of し ,when do you use     instead of  and  ,0,1,1,31,37,8,8,6.0,16.0,0.375,2,0,0.9999500024998749,0.49998750031249223,0.9999750006249845,0.7999840003199936,0.8571306124198226,0.7499906251171861,0,1,1,7.5,93,87,86,90,0.5
9,19,20,motorola  company   can i hack my charter motorolla dcx3400 ,how do i hack motorola dcx3400 for free internet ,0,1,1,60,49,9,9,3.0,18.0,0.1666666666666666,2,0,0.5999880002399952,0.49999166680555324,0.3333222225925802,0.24999375015624611,0.4444395062277086,0.4444395062277086,0,0,0,9.0,65,44,49,57,0.22
10,21,22,method to find separation of slits using fresnel biprism ,what are some of the things technicians can tell about the durability and reliability of laptops and its components ,0,1,1,57,116,9,19,1.0,25.0,0.04,2,0,0.0,0.0,0.49997500124993743,0.11110987655692715,0.11110987655692715,0.0526313019405161,0,0,10,14.0,36,35,18,38,0.06896551724137931
11,23,24,how do i read and find my youtube comments ,how can i see all my youtube comments ,1,1,1,43,38,9,8,5.0,17.0,0.2941176470588235,2,0,0.6666444451851604,0.49998750031249223,0.5999880002399952,0.5999880002399952,0.6249921875976551,0.5555493827846357,1,1,1,8.5,81,76,76,74,0.5384615384615384
12,25,26,what can make physics easy to learn ,how can you make physics easy to learn ,1,1,1,36,39,7,8,6.0,15.0,0.4,2,0,0.9999750006249845,0.9999750006249845,0.6666444451851604,0.49998750031249223,0.8571306124198226,0.7499906251171861,1,0,1,7.5,92,85,88,89,0.7567567567567568
13,27,28,what was your first sexual experience like ,what was your first sexual experience ,1,1,1,43,38,7,6,5.0,13.0,0.3846153846153846,2,0,0.9999666677777407,0.7499812504687383,0.9999666677777407,0.9999666677777407,0.9999833336111065,0.8571306124198226,0,1,1,6.5,100,94,94,100,0.9743589743589743
14,29,30,what are the laws to change your status from a student visa to a green card in the us  how do they compare to the immigration laws in canada ,what are the laws to change your status from a student visa to a green card in the us  how do they compare to the immigration laws in japan ,0,1,1,141,140,29,29,20.0,44.0,0.4545454545454545,2,0,0.90908264470323,0.90908264470323,0.999990909173553,0.999990909173553,0.7241354340157448,0.7241354340157448,0,1,0,29.0,97,95,97,97,0.950354609929078
15,31,32,what would a trump presidency mean for current international master own students on an f1 visa ,how will a trump presidency affect the students presently in us or planning to study in us ,1,1,1,93,91,15,17,4.0,31.0,0.1290322580645161,2,0,0.37499531255859303,0.2999970000299997,0.1666638889351844,0.14285510206997043,0.24999843750976558,0.23529273357215547,0,0,1,16.5,52,46,52,51,0.21739130434782608
16,33,34,what does manipulation mean ,what does manipulation means ,1,1,1,28,29,4,4,3.0,8.0,0.375,2,0,0.49997500124993743,0.49997500124993743,0.9999500024998749,0.9999500024998749,0.7499812504687383,0.7499812504687383,0,1,0,4.0,98,98,98,96,0.9310344827586207
